ItemNumber,sentence,checkNoteRelevant
10202,Backorder 2+ mos new part 6/16/23.,
10203,ADD PHOTO & LOCATION WHEN AVAILABLE,
10204,Overflow is upstairs,
10217,4.3.24 - 5.26.24 none avail,
1022,ADD PHOTO,
10222,"This is similar to #4819, but #10222 accommodates aftertouch and has different connecters as such.",
10222,11.19.23-2.3.24 Roland site shows NLA,
10230,ADD PHOTO WHEN AVAIL,
10232,4.25.23 Korg verified part NLA.,
10232,Item request from millerqumseya@icloud.com for 10 units.10.11.24,
1024,ADD PHOTO,
10240,Put ten in stock with eight on wait list,
10245,"1 used, 2 new in stock 10/15/24",
10246,Make special order NEW part from CAE.MM,
10248,"When the USED one sells, make special order NEW part from CAE.MM",
10269,When restocking change to NEW only,
10270,We can get from # 11421 keybed,
10285,Overstock is upstairs,
1029,"If the buttons are easily removable, sell this (and retake photo) without the buttons.",
10290,"Equivalents: TMS3848NC, SAJ180, SAA1005 and SFF5002",
10292,12.13.23-1.28.25 none avail,
10293,7.29.23 Roland site shows NLA.MM,
10294,11.9.23 - 5.26.24 none avail,
10297,CHECK IN AS #10297 and # 10391.,
10298,ADD PHOTO WHEN AVAIALBLE,
10300,9.9.24 Overstock at Syntaur North,
10301,Overstock is upstairs,
10307,"Can be used as replacement for the #5202, although the height is shorter.",
10312,"ADD PHOTO WHEN AVAILABLE, and location",
10314,GIVE TO SAM.,
10314,What parts come with this?,
10314,11.13.23-1.22.25 None avail,
10317,"When ordering NEW, change this listing for price and NEW.",
1032,*** ADD PHOTO OF THIS PART WHEN AVAILABLE ***,
10320,Must price increase significantly before stocking.,
10320,12.13.23 None avail,
10328,"if getting from YA change to NEW and see about adjusting price, available at YA 9.28.23 so changed supplier KM",
1033,Same knob with white indicator line is #1801,
10330, 9.17.23 - 11.29.23.,
10330,Shows NLA.MM,
10334,"2.5.23 # AMS-FFMB001305 is NLA after the one we have on order, will send one of sub part # AMS-FFMB000140.",
10334,"oveflow upstairs KM  10.15.24 Three missing, nla 11.7.24 1 on order but supplier changed",
10335,NEED PHOTO and location.,
10335,"3.1.22 This is available today, when it is gone, this part is NLA.MM.",
10335,2/16/24 - Still 1 avail.,
10338,Available at Korg 9.28.23 so changed supplier KM.,
10338,2.26.25 Korg verified nla,
1034,*** ADD PHOTO OF THIS PART WHEN AVAILABLE ***,
10340,"Similar to #3227, etc.",
10341, 3/17/22 - Still available from Korg.,
10341,"SM , available from Korg 9.28.23 so changed supplier KM",
10344,9.28.23 - still avail from Korg.,
10344,Korg sells on Reverb for $209.81,
10346,8.08.22-9.16.22 Backordered.MM  9.12.22 Korg canceled our order and now NLA.MM,
10353,3/17/22 - Still available from Korg.,
10353,SM,
1036,Backorder 11 mos 12.14.24 Backordered,
10366,"12.16.24 Putting  one in stock, 3 on wait list, M3 88 added 3.31.25 KM",
1037,"Identical to 7396, except for color.",
10371,REPHOTO THIS WITHOUT POWER SWITCH CAP,
1038,*** ADD PHOTO WHEN AVAILABLE ***.,
1038,"5.19.23 1-21844 Backordered  6.2.23 Korg notified that this part is NLA, so canceled from PO #21844 and canceled order #141995.MM",
10384,Same as #4407 except for color.,
10391,CHECK IN AS #10297 and # 10391 ***This part is for both the mod wheel #10297 and the pitch bend assembly.,
10391,BE SURE TO LABEL TWO SEPARATE PARTS CORRECTLY - Pitch bend has a spring.,
10391,*** 1.22.25 none avail,
10392,"ADD PHOTO & LOCATION   11.15.22 Cost increase from $46.98 to $100.44, so raised price from $96.95 to $199.95.MM.",
10392,6.5.24 Have not sold one yet.,
10392,"Cost decrease from $100.44 to $83.82, decreased price from $199.95 to $139.95",
10393,"Identical to #7360, except for foam pad thickness.",
10393,Similar to #11621 except for color.,
10393,4.8.22 New product.,
10394,Backorder 2 + mos  Cannot get from Mouser.,
10395,Frequent Backorder 5+ mos,
10404,18 in U502.,
10404,1 missing 8.19.24,
10405,overstock in U1,
10411,ADD PHOTO and location,
10414,new part 5/1/23,
10415,Add note count,
10416,in transit 3.21,
10417,THIS IS NOT FOR THE CLP-685.,
10417,BEWARE OF PACKING LIST INFO.,
10417,"6.8.22 Low board for the CP88, not the CP73.",
10417,", CLP-685 added from packing list 5.6.24.",
10417,"Removed #10417 from Model page for CLP-685 when verified by Yamaha that it is not correct, leaving # 11940 as Low Board.",
10418,THIS IS NOT FOR THE CLP-685.,
10418,BEWARE OF NOTES ON PACKING LIST.,
10418,Not for CP73 or YC73.,
10418,1.11.25 Removed # 10418 from CLP-685 Model page when verified by Yamaha that it is not correct.,
10419,THIS IS NOT FOR THE CLP-685.,
10419,"1.11.25 Removed from CLP-685 when verified by Yamaha that it is not correct, leaving # 11941 as the High board.",
10419,# ZR097300 is in SM for CLP-685.,
1042,This pot is being discontinued by Panasonic.,
10420,"6.8.22 For CP73, not CP88, not P125  6.16.22 Also for P121, in transit 1/9/25",
10421,Change to NEW when ordering new,
10424,For E-Synth also?,
10431,5 in transit 3.28,
10441,Same as 9115.,
10441,Combine these when we have one or more available and can clean out the 10441 wait list.,
10443,supplier changed 3.5.25,
10444,ADD PHOTO AND LOCATION,
10445,"ADD numbers/letters from board to web text - #2910 X5830, new part 7.18.24",
10446,ADD PHOTO AND LOCATION,
10447,"5.31.22 For CP73, not CP88, not P125  6.16.22 Also for P121",
10448,Backorder was 6+ mos  DO NOT CHECK IN w/o inserts.,
10448,Insert is needed for #10448 and #11409.,
10448,"8.13.24 Korg is asking how many we need for repairs re: 10-22449, replied that we need eight.",
10448,10.9.24 10-22499 of PLA0010093 in transit,
10449,in transit 3.28,
10450,"ADD PHOTO, does weight need adjusting please?",
10459,"some were incorrectly labeled and taken out of stock 9.21.23
additional manuals added on literary shelf upstairs 9.5.24 MP",
1046,*** ADD PHOTO WHEN AVAILABLE ***,
1047,*** ADD PHOTO WHEN AVAILABLE ***,
1048,*** ADD PHOTO WHEN AVAILABLE ***,
10482,"4.1.24 Took one out of stock, sent mistakenly in Order # 155351.",
10489,Overflow under U6 on floor,
10490,Overflow on floor under U6,
10492,Overflow under U6 on floor,
10494,Overflow in U4,
10496,"5.11.22  For PSR-630, new in box from spare parts acquisition.MM",
10497,"5.3.23 New part, ADD PHOTO & location",
10505,"Moved 11 out of stock, they are for Emu EIIIXS.",
10508,Backorder was 6 wks,
10509,Frequent Backorder 2 mos 5.11.22 New product.,
1051,"7.8.21 Sixteen on waitlist, putting six in stock",
10510,Backorder was 1 mo,
10515,"5.12.22  This is for the S70XS only, not the S90XS.",
10515,"Photo, add model, size details, give to Mary.MM
ADD PHOTO AND LOCATION",
10516,ADD PHOTO.,
10516,"5.12.22  This is for the S70XS only, not the S90XS.",
10516,"Photo, add size details, give to Mary.MM",
10517,"ADD Photo, key count",
10518,gave 1 to tech to test 3/6 KM,
10520,ADD PHOTO WHEN AVAIL,
10530,"One box upstairs in U1, more overstock at Syntaur North.",
10532,"Overflow is in U502, more in a box with 10530 at Syntaur North",
10535,6 overstock at Syntaur North,
10538,Overstock in U7.,
10538,"Uses pot #7279, ribbon cable #10442
One used one upstairs, not in stock",
10539,"Uses encoder #3465, ribbon cable #10442",
1054,"Except for color, same as #4393 (gray) and #2958 (white) , available at Korg 10.5.23 , cancelled 3 remaining on PO 22019 10.19.23 KM.",
1054,10.22.23 Korg shows NLA.MM,
10542,"9.8.22 New part, Rotating Adjustment Contrast Control/Switch.",
10543,Ask Sam before putting in stock please.,
10543,"When we get one, let's see if we can find a another source.",
10544,3 in transit 5.23,
10545,Does weight need adjusting please?,
10546,in transit 6.21,
10548,One USED upstairs (put in stock as USED when this sells).,
1055,"electribe 2 added 7.31.24 KM, Modwave added 8.22",
10556,This part is interchangeable with #5085.,
10558,in transit 4.4.24,
10560,Frequent Backorder 2 mos.,
10563,PHOTO NEEDED,
10564,PHOTO NEEDED,
10565,PHOTO NEEDED,
10567,new part 5.1.24,
10568,Backorder 3+ mos  10.17.23 One missing.MM,
10569,Overflow upstairs in U4 -MS,
10571,LOCATION IS CHANGING to A205.,
10571,"Stock any new arrivals there, in the original box.",
10571,"Once unboxed in A407 sell out, change location in SynD and erase this sentence.",
10571,SM    BACKORDER was 6 mos.,
10571,** Raise (or lower) minimum as needed to keep in stock**,
10572,Should we list as PNA and PNR?MM,
10573,ADD PHOTO WHEN AVAILABLE,
10574,ADD PHOTO WHEN AVAILABLE,
10575,ADD PHOTO WHEN AVAILABLE,
10576,ADD PHOTO.,
10576,10.31.23 Consumer price is $869.14,
10578,ADD PHOTO WHEN AVAILABLE,
10579,Frequent Backorder 2 mos,
10580,8.08.22 New part  Backorder was 8 mos.,
10580,1.28.25-2.25.25.,
10580,4-22591 still on BO.,
10581,Uses K122U keys.,
10581,"10.31.23 Consumer price $738.20, out of stock when ordered 1.8.25  3.13.24 Rec'd one but need 2 for oldest order # 168449",
10582,new part 12.30.24,
1059,Frequent backorder,
10593,8/13/23 - Ordered 16 on eBay from ti_shenzhen2006 - they are FAKE.,
10593,8.13.23 $19.97 on Amazon,
10594,"If first part number is out of stock, is second part number in stock?",
10594,", 3 in transit 4.4.24",
10597,Backorder was 2 mos   7.29.22 New part.,
10597,Not for MODX7.,
10598,ADD PHOTO WHEN AVAILABLE,
10599,"ADD PHOTO, letters and numbers on board for Web text",
1060,ADD PHOTO,
10601,"DO NOT PHOTO, give to Sam.",
10601,This item should contain button sets that we will sell separately.,
10601,"Item Request for jfrumar@gmail.com, emailed 7.19.22.",
10602,7.18.22 Verified NLA.MM,
10603,"7.21.22 New part added, state date when we have one and photo on site please.",
10603,"Also increase price by $20
ADD PHOTO WHEN AVAILABLE",
10604,  7.12.22 Yamaha verified NLA.MM - came out of broken DGX-505 4/4/24 - JC,
10605,ADD PHOTO WHEN AVAILABLE,
10607,"new part 7.27.23 , added Tyros 5 from pick list KM",
10608,new part 5/10/23,
10609,ADD PHOTO WHEN AVAIL,
1061,*** ADD PHOTO WHEN AVAILABLE ***,
10610,ADD PHOTO WHEN AVAILABLE,
10616,ADD PHOTO.,
10616,"Similar to SP200 main board (both are KIP-2051), but populated differently.",
10619,"Overstock Upstairs in U4, 3rd shelf",
1062,*** ADD PHOTO WHEN AVAILABLE ***,
1063,4.3.24-1.22.25 none avail,
10632,5.1.23 - 7.11.13 Expected 01-Aug-23 at Mouser,
10635,"This encoder can replace #3465, but has no detents.",
10638,Change to NEW when reordering,
10640,"Change to New when sold, and raise price",
10642,ADD PHOTO WHEN AVAIL and add letters and numbers from board to Web Text please.,
10642,4.3.23  Yamaha verified that # VEX86100 is the correct sub number.,
10643,ADD PHOTO WHEN AVAIL,
10645,"12/31/24 - Made Minimum=1 and raised price, SM , in transit 3.28",
10646,2 in transit 1.21,
10647,ADD PHOTO WHEN AVAIL,
10648,New part: 8/25/22.,
10648,"12.12.24 Added one to stock from # 161617, RTS.MM",
10649,ADD PHOTO WHEN AVAIL,
1065,"**** TWO of THESE of Korg part are required to make one #1065***  When backordered, order 10 at a time-shipping cost less overall.",
1065,LP-380U added 1.24.25 KM.,
1065,M3 88 added 3.31,
10652,1 upstairs 10/22/24 - JC,
10654,9/2/22 - Listed on eBay,
10655,Change to NEW when this stock sells,
10656,"Can probably sub #1338, cost increase from 13.52 to 15.36 price increased from 19.95 to 21.95 3.19 KM",
10658,2.7.23 Frankie gave # AMS-40559 as sub number.,
10658,Should be used for all Nord.,
10658,1.23.25 Added all Stage 3 models,
1066,ADD PHOTO WHEN AVAILABLE,
10660,Same as #10663 exc for wiring length.,
10660,Maybe we can make these...?,
10660,Sam has one (gave to Nick) to see if we can.,
10661,#4659 can be a sub for this part - #4659 just has slightly longer wiring.,
10661,", cost reduced from 74.70 to 60 price not adjusted 9.20.24 KM",
10663,Same as #10660 exc for wiring length.,
10663,#10660 can sub for this (but not vice versa).,
10663,2.8.23 Requested info from Frankie.MM.,
10663,Maybe we can make these...?,
10663,nla 3.19 supplier changed,
10665,2 needed per package!,
10666,"7.27.23 cost increase from 4.34 to 5.09 - did not raise price  , 2 extra came on PO 21970 not billed for",
10667,Avail from Amplified Parts,
10668,75x upstairs 11/4/24 - JC,
10669,This did not ship with the rest of the order.6.18.24,
10674,6.10.22 New part for special order.,
1068,"ADD PHOTO, D16 added 7.23.24 KM, KM-2 added 11.20",
10680,Mouser part available 10.5.23,
10686,"ADD PHOTO and number/letter printed on board to Web Text  9.6.24 In stock with Yamaha, email tasostelos@yahoo.gr a photo (if he is not the buyer and it is still orderable - pass to Mary or Kayla please).",
10686,1.16.25 Item req from ernestou@yahoo.com - please email when we have photo if not the buyer,
10688,"changed to NEW, and changed price.",
10688,"8.29.24 KM, in transit 9.3.24",
10689,New part 5.13.24,
1069,"6.10.21 Acquired from Perfect Circuit, one on wait list, putting one in stock.MM",
10690,ADD PHOTO AND LOCATION,
10691,1 used one (not in stock) is in U1.,
10691,9.2.22 New part  Frequent Backorder 2 mos.,
10691,07.05.23 Backordered,
10692,ADD PHOTO AND LOCATION.,
10696,Used ones are in bag for shop use,
10703,Change to NEW if restocking from Roland,
10705,12.13.23-1.22.25 None avail,
10706,Backorder was 3 mos,
10708,9.18.24 13 avail.,
10708,10.12.24 12 avail.,
10708,2.25.25 9 avail.,
10708,"Our cost $60.19 plus shipping, raised price from 99.95 to $109.95",
10709,REQUIRES TWO PARTS IF FOR THE #10709.,
10709,1.18.23 Yamaha gave sub part number that is now two parts!!,
10709,"Also, see part # 11659, the HP listed in the SM.",
10709,"1.13.24 Item request, lowered price from $299 to $259.MM, in transit 11.4",
10710,Frequent Backorder,
10711,1 in transit 3.19,
10712,"Make sure TECH CHECK before putting in stock please, expect 2nd week of april 2.27.25",
10714,ADD PHOTO WHEN AVAILABLE,
10724,9.11.23 One missing.MM,
10725,9.11.23 One missing.MM,
10729, 12.13.23-5.26.24 none avail.,
10729,1.22.25 2 avail.,
10729,"Our cost is $100.95 + shipping, raised price $144 to $184.",
10729,2.3.25 2 avail  2.26.25 -1,
10730,1.22.25 none avail.,
10730,2.26.25 1 avail.,
10730,"Our cost is $38.85 plus shipping, increased price from $59.95 to $79.95",
10732,"CHECK IN AS 3 PARTS: #10732, 10733, 10734.",
10732,Is this identical to #6058?,
10732,3/25/25 - Moved 3 to #6058.,
10732,SM,
10733,"CHECK IN AS 3 PARTS: #10732, 10733, 10734.",
10733,"May be identical to #6057, except for one mounting hole.",
10733,3/25/25 - Moved 3 to #6057.,
10733,SM,
10734,"CHECK IN AS 3 PARTS: #10732, 10733, 10734.",
10734,Is this identical to #6056?,
10734,"Possibly, exc for slight difference in hole pattern.",
10734,9.12.23 One missing.MM,
10735,MUST MEASURE to see if Same as 10735?,
10735,4.3.24-4.20.24 none avail.,
10735,5.26.24 Roland shows -1.,
10735,8.15.24 Roland shows -2.,
10735,9.18.24-2.26.25 Roland shows -3,
10737,1.22.25 none avail,
10738,"9.18.24-1.22.25 none avail, raise price if checking in NEW or Used",
1074,Can use #1214 or #2972 (but those are different color),
10759,REPHOTO - something is weird with the connectors in this pic.,
1076,"Same as #2725, except for color",
1077,Frequent Backorder 11+ mos,
1078,"6.2.23 Korg notified that this part is NLA, so canceled from PO #21844.MM",
10781,ADD PHOTO,
10782,ADD PHOTO,
10784,"ADD PHOTO, available at Korg 10.5.23",
1079, *** ADD PHOTO WHEN AVAILABLE ***,
10794,Cost increase from 5.25 to 15.95 price not adjusted 9.20.23,
10795,Backorder 2 mos  7.19.22 New part.,
10795,This part especially common on keyboards w/ built-in speakers.,
10795,Not for P-35 or P-105 or CK88,
10796,Order at least 10 at once for discounted pricing.,
1080,This board requires a different display bezel from the green display board.,
10811,#3447 is a good sub.,
10819,"Same as 10994, 13262 exc for color",
1082,ADD PHOTO,
10821,Backorder was 3 mos.,
10823,8.19.22 New part.,
10823,9.18.24 Roland has 13.,
10823,2.15.25 none avail,
10825,May be still available from Alesis?,
10827,REMOVE POWER SWITCH CAP #12768 and add to that stock.,
10827,11.13.23 cost increase from 143.32 to 148.99. expect in a week 2.27.25,
10828,I think this fits Kurzweil Mark 110,
10831,6.25.22 Added today from request by nandhanidhi@gmail.com,
10832,"Backorder 1+ mo  2.22.23 Rec'd 8-21694, leaving 4 still on bo.",
10832,"1.25.23 12-21694, bo",
10834,Backorder was 1 mo.,
10834,2.6.23 Cost shows as $5.26.MM,
10835,"6.27.22 Sub part number from Yamaha, MSRP: $273.18.",
10836,For YC only,
10838,WM934400 is slightly stiffer compound than V7643102,
10839,Frequent backorder,
1084,ADD PHOTO,
10840,4.3.24-12.27.24 none avail,
10842,Change to NEW and order from CAE when this one is sold.,
10842,"10.3.23-9.18.24 Roland has two, change to NEW if ordering.MM",
10844,12.13.23-1.22.25 None avail,
10845,"Change to NEW and order from CAE when this one is sold, For Fantom G-8, not G-6 or G-7.",
10845,1.22.25 none avail,
10846,Change to NEW and order from CAE when this one is sold.,
10847,"3.23.23 Roland has 12  9.9.23 Roland has 10 avail.MM  These are more expensive from Mouser than from Roland- SM
CHANGE TO NEW after Used one sells",
10848,"Change to New when these are sold, and order from CAE.",
10849,"Change to New when sold, and order from CAE.",
10849,1.5.24 - 5.26.24 None avail 1.22.25 Roland shows -1,
10851,"Change to New, and order from CAE when these are sold.",
10853,GIVE TO SAM to see if we can match these at Lowes.,
10853,"Do not purchase from Roland, as they send only one.MM  5.24.23 Roland has four available on their site.",
10853,9.27.23 Sam has one to try to match so do not order.MM,
10854,3.23.23 Roland has one.,
10854,"When this sells, change to NEW and raise price",
10855,Backorder was 10 weeks.,
10856,Backorder was 2 1/2 mos,
10857,Backorder 2 mos.,
10857,"4.12.24 2-22340 on BO  6.18.24 Rec'd 1-22340, leaving 1-22340 on BO",
10858,Frequent Backorder 4 mos.,
10858,1 missing 12.20.24,
10859,10.31.24 Backordered.,
10859,11.21.24 1-22629 still on BO,
1086,PA60 added 9.6.24 KM,
10860,ADD PHOTO (and LOCATION if for stock),
10861,REMOVE USED SETTING WHEN RESTOCKING.,
10861,7.13.22 New product.,
10861,", available at YA 10.5.23",
10862,2 in transit 5.21.24,
10863,ADD PHOTO AND LOCATION,
10864,ADD PHOTO AND LOCATION,
10865,new part 6/14/23.,
10865,Took off Special Order 5/31/24.,
10865,"SM, in transit 1.31",
1087,1.5.23.,
1087,Cost increase from $.73 to $ 1.11,
10886,ADD PHOTO AND LOCATION WHEN AVAILABLE.,
10886,7.7.22 Verified with Yamaha NLA.MM,
10888,came w nut no washer 11.22.23 needs to include both.,
10888,10.9.24 Roland has 17,
1089,"4 used in bin, not in stock",
10891,"10.5.22 We are only getting 6, (14 were canceled by Korg as needed for warranty work), so NLA for now.MM  1.14.23 available 6.28.23 Backstock upstairs",
10894,Frequent Backorder 3+ mos.,
10894,7/7/22 - New part.,
10895,"FREQUENT BACKORDER 7/1/22 - New part listed, rec'd first two on 8.29.22   This item is in its own bin on the A507 shelf.",
10895,", 10 not ordered sent on PO 22282.",
10895,11.25.24 10-22656 still on backorder,
1090,"Same as 6551, except for color.",
1090,"Korg is selling for $5 on Reverb., X50 added 10.4.24 KM",
10900,*** THIS CHIP NEEDS TO BE PROGRAMMED FOR THE APPLICATION!,
10900,***,
10902,2.28.25 canceled 1-22700,
10903,Frequent Lengthy Backorder 7 mos,
10904,DO NOT CHECK IN UNLESS BOTH PIECES ARRIVE.,
10904,Backorder was 3 mos,
10905,New part 12.16.24,
10908,2 upstairs in U1,
1091,Backorder 4 mos.,
1091,2.28.25 canceled 1-22555,
10911,available at YA 10.5.23,
10914,"1-22639 cancelled, and nla at YA - supplier changed 11.11.24 KM",
10915,CHANGE TO NEW WHEN RESTOCKED.,
10915,available from YA 10.5.23,
10916,"Ribbon connectors not included 7.25.23  Frequent Backorder  1.6.25 Rec'd 1-22691, leaving 1-22691 on bo",
10917,"CHANGE TO NEW when restocking, raise price.",
10917,YA available 10.5.23,
1092,FREQUENT BACKORDER 6+ mos.,
1092,Missing from PO 22445.,
1092,Checked in on PO 20711 - 8/5/24 - JC.,
1092,"11.26.24 It appears 2-20711 were canceled, so changed On Order from 2 to zero",
10928,in transit 1.21,
10931,in transit 3.28,
10937,"Yamaha cancelled 2 from PO 21866, NLA on site, refund #143039 10.17.23 KM",
10939,in transit 11.20,
1094,These are used to make #3362.,
1094,Keep in stock for making the #3362.MM  Expected 18-Aug-23 at Mouser,
10942,"nla at ya so changed supplier 11.4.24 KM  11.24.24 Req'd sub pn.MM  If we can get them, let's get ten or so.MM",
10943,Change to NEW when restocking,
10945,YA 'contact me' 10.5.23,
10946,Raise price and get NEW,
10947,"If this is coming in NEW, see if there is a cover, that is separate part # 10949.",
10947,Item Request from 	stefano.cinque86@gmail.com for BATTERY COVER.,
10947,1.22.25 none avail,
10948,"WAIT  If ordering new, wait to see what we get.MM",
10949,Not for Juno-DS88.,
10949,Case is Part # 10947.,
10949,"Not for AX-Edge or AX-Synth, but # 10947 does not match with # 10949 synths listed.MM.",
10949,1.5.24-5.26.24 None avail.,
10949,8.15.24 Roland shows -1.,
10949,9.18.24 1 avail.,
10949,11.7.24-1.22.25 none avail,
1095,ADD PHOTO,
10950,1.5.24-1.22.25 None avail,
10957,4.3.24-5.26.24 none avail.,
10957,7.14.24-2.3.25 Roland shows nla,
10958,1.22.25 one avail.,
10958,Our cost is $87.36.,
10958,2.11.25 one avail.,
10958,2.13.25-2.23.25 none avail,
10962,YA part available 10.5.23,
10963,"When checking in, change to NEW only",
10964,"When checking in, change to NEW only",
10965,"When checking in, change to NEW only",
